,equity,drawdown
2015-01-01,100000.0,0.0
2015-01-02,100000.0,0.0
2015-01-05,100000.0,0.0
2015-01-06,100000.0,0.0
2015-01-07,100000.0,0.0
2015-01-08,100000.0,0.0
2015-01-09,100000.0,0.0
2015-01-12,100000.0,0.0
2015-01-13,100000.0,0.0
2015-01-14,100000.0,0.0
2015-01-15,100000.0,0.0
2015-01-16,100000.0,0.0
2015-01-19,100000.0,0.0
2015-01-20,100000.0,0.0
2015-01-21,100000.0,0.0
2015-01-22,100000.0,0.0
2015-01-23,100000.0,0.0
2015-01-26,100000.0,0.0
2015-01-27,100000.0,0.0
2015-01-28,100000.0,0.0
2015-01-29,100000.0,0.0
2015-01-30,100000.0,0.0
2015-02-02,100000.0,0.0
2015-02-03,100000.0,0.0
2015-02-04,100000.0,0.0
2015-02-05,100000.0,0.0
2015-02-06,100000.0,0.0
2015-02-09,100000.0,0.0
2015-02-10,100015.88729723886,0.0
2015-02-11,99271.50137381785,-0.007442676794025327
2015-02-12,100681.60693040003,0.0
2015-02-13,101841.60619717352,0.0
2015-02-16,101660.61266579444,-0.001777206174740198
2015-02-17,102276.53721414403,0.0
2015-02-18,102242.61396100144,-0.00033168167466957055
2015-02-19,102242.61396100144,-0.00033168167466957055
2015-02-20,102242.61396100144,-0.00033168167466957055
2015-02-23,102371.45428827214,0.0
2015-02-24,102575.05848225013,0.0
2015-02-25,102315.05583864554,-0.00253475501210243
2015-02-26,103243.89233933705,0.0
2015-02-27,103653.38432658273,0.0
2015-03-02,104608.2331322664,0.0
2015-03-03,104517.6393125088,-0.0008660295374939286
2015-03-04,104541.29756463866,-0.0006398690200903889
2015-03-05,104106.8134127167,-0.004793310282907637
2015-03-06,104483.48797665891,-0.0011924984475146783
2015-03-09,103302.36091232774,-0.01248345546843821
2015-03-10,102976.91008624139,-0.015594595159277413
2015-03-11,102921.27648586791,-0.01612642328319891
2015-03-12,103124.02255430726,-0.014188276902473818
2015-03-13,103179.62838979288,-0.01365671419635961
2015-03-16,104307.6677017801,-0.0028732483236406647
2015-03-17,104008.13741838538,-0.005736601182454337
2015-03-18,103240.14933436258,-0.013078165617939619
2015-03-19,102936.09218228844,-0.015984792973835038
2015-03-20,103996.99730956276,-0.005843094796666559
2015-03-23,103408.98197144945,-0.011464213904661014
2015-03-24,102843.26294914211,-0.01687219189423328
2015-03-25,101941.23558688778,-0.025495101728813974
2015-03-26,102455.37623453067,-0.02058018602621514
2015-03-27,102197.45654532405,-0.02304576336638975
2015-03-30,102155.38613698554,-0.02344793446782989
2015-03-31,102124.51272923898,-0.023743068099496556
2015-04-01,102093.11422722257,-0.0240432213577656
2015-04-02,102064.03050163589,-0.024321246563964283
2015-04-03,102064.03050163589,-0.024321246563964283
2015-04-06,100573.01246687621,-0.03857459919323991
2015-04-07,100376.79340554925,-0.040450350799510426
2015-04-08,100340.72787239468,-0.04079511843466366
2015-04-09,100340.72787239468,-0.04079511843466366
2015-04-10,100340.72787239468,-0.04079511843466366
2015-04-13,100340.72787239468,-0.04079511843466366
2015-04-14,100340.72787239468,-0.04079511843466366
2015-04-15,100340.72787239468,-0.04079511843466366
2015-04-16,100454.64925231422,-0.039706089622031926
2015-04-17,100444.86841624802,-0.039799589299574833
2015-04-20,100506.6518848913,-0.03920897165129511
2015-04-21,100321.82827278391,-0.040975788722698026
2015-04-22,100271.3879086858,-0.04145797222382197
2015-04-23,100402.22342302323,-0.04020725313202733
2015-04-24,100515.19063303334,-0.03912734568471121
2015-04-27,99859.42414252301,-0.045396130376650135
2015-04-28,100247.00027261277,-0.04169110527026387
2015-04-29,99997.45767716331,-0.044076601975231
2015-04-30,99491.78568026873,-0.048910561805670105
2015-05-01,99478.08295763923,-0.049041552667662525
2015-05-04,99648.93971889679,-0.04740825138590277
2015-05-05,99654.60451025986,-0.047354098943083955
2015-05-06,98889.13670470564,-0.054671570834482486
2015-05-07,99427.94780018297,-0.04952081855290957
2015-05-08,99292.14473485659,-0.05081902483419409
2015-05-11,99189.16951665842,-0.05180341406546962
2015-05-12,99066.78738316221,-0.052973323257430316
2015-05-13,99206.87078340168,-0.051634199212936216
2015-05-14,99190.54208887799,-0.051790292992887954
2015-05-15,99249.25102420598,-0.05122906627516144
2015-05-18,99064.60735504089,-0.052994163186143806
2015-05-19,99177.84896040733,-0.05191163266272647
2015-05-20,99172.57422153739,-0.05196205640770335
2015-05-21,99030.05257054392,-0.053324488854232355
2015-05-22,98929.49786847229,-0.05428573921723667
2015-05-25,98918.60054803605,-0.05438991190145037
2015-05-26,98927.06322221455,-0.05430901316217229
2015-05-27,98632.81930700237,-0.057121831105862664
2015-05-28,98774.38164496316,-0.05576856919021789
2015-05-29,98747.93308777112,-0.056021403564722516
2015-06-01,98747.93308777112,-0.056021403564722516
2015-06-02,98747.93308777112,-0.056021403564722516
2015-06-03,98747.93308777112,-0.056021403564722516
2015-06-04,98747.93308777112,-0.056021403564722516
2015-06-05,98747.93308777112,-0.056021403564722516
2015-06-08,98747.93308777112,-0.056021403564722516
2015-06-09,98747.93308777112,-0.056021403564722516
2015-06-10,98747.93308777112,-0.056021403564722516
2015-06-11,98747.93308777112,-0.056021403564722516
2015-06-12,98747.93308777112,-0.056021403564722516
2015-06-15,98747.93308777112,-0.056021403564722516
2015-06-16,98747.93308777112,-0.056021403564722516
2015-06-17,98747.93308777112,-0.056021403564722516
