date,asset,action,weight,price,regime,equity,note
2015-02-09,BTC-USD,OPEN_LONG,0.5,7804.7753,RANGE,100000.0,ACTIVE (regime RANGE ∈ ['RANGE']); long fade: z=-2.29 ≤ -2.0
2015-02-10,QQQ,OPEN_SHORT,-0.5,189.7685,RANGE,100015.89,ACTIVE (regime RANGE ∈ ['RANGE']); short fade: z=3.01 ≥ 2.0
2015-02-13,BTC-USD,CLOSE,0.0,7975.4981,RANGE,101841.61,all strategies flat
2015-02-17,QQQ,CLOSE,0.0,184.9606,RANGE,102276.54,all strategies flat
2015-02-20,QQQ,OPEN_SHORT,-0.5,191.9538,RANGE,102242.61,ACTIVE (regime RANGE ∈ ['RANGE']); short fade: z=2.56 ≥ 2.0
2015-02-23,EURUSD,OPEN_SHORT,-0.5,1.1206,RANGE,102371.45,ACTIVE (regime RANGE ∈ ['RANGE']); short fade: z=2.96 ≥ 2.0
2015-02-24,BTC-USD,OPEN_SHORT,-0.4663,8353.5292,RANGE,102575.06,ACTIVE (regime RANGE ∈ ['RANGE']); short fade: z=2.34 ≥ 2.0
2015-02-25,EURUSD,CLOSE,0.0,1.1282,TREND_DOWN,102315.06,all strategies flat
2015-03-02,BTC-USD,CLOSE,0.0,7902.9619,RANGE,104608.23,all strategies flat
2015-03-12,GLD,OPEN_SHORT,-0.5,111.0835,TREND_DOWN,103124.02,"ACTIVE (regime TREND_DOWN ∈ ['TREND_DOWN', 'TREND_UP']); short: close<0.5·ATR above fastMA"
2015-03-13,BTC-USD,OPEN_SHORT,-0.4763,8658.6893,RANGE,103179.63,ACTIVE (regime RANGE ∈ ['RANGE']); short fade: z=2.08 ≥ 2.0
2015-03-27,QQQ,CLOSE,0.0,203.0447,TREND_DOWN,102197.46,all strategies flat
2015-03-27,BTC-USD,CLOSE,0.0,8439.9132,RANGE,102197.46,all strategies flat
2015-03-30,GLD,CLOSE,0.0,111.6565,RANGE,102155.39,all strategies flat
2015-03-31,GLD,OPEN_SHORT,-0.5,111.4252,TREND_DOWN,102124.51,"ACTIVE (regime TREND_DOWN ∈ ['TREND_DOWN', 'TREND_UP']); short: close<0.5·ATR above fastMA"
2015-04-01,GLD,CLOSE,0.0,111.4281,RANGE,102093.11,all strategies flat
2015-04-03,SPY,OPEN_SHORT,-0.5,203.9771,TREND_DOWN,102064.03,"ACTIVE (regime TREND_DOWN ∈ ['TREND_DOWN', 'TREND_UP']); short: close<0.5·ATR above fastMA"
2015-04-03,BTC-USD,OPEN_SHORT,-0.5,8871.2842,RANGE,102064.03,ACTIVE (regime RANGE ∈ ['RANGE']); short fade: z=2.24 ≥ 2.0
2015-04-06,BTC-USD,CLOSE,0.0,9038.4649,TREND_DOWN,100573.01,all strategies flat
2015-04-07,SPY,CLOSE,0.0,206.3677,RANGE,100376.79,all strategies flat
2015-04-15,GLD,OPEN_SHORT,-0.5,111.7,TREND_DOWN,100340.73,"ACTIVE (regime TREND_DOWN ∈ ['TREND_DOWN', 'TREND_UP']); short: close<0.5·ATR above fastMA"
2015-04-17,GLD,CLOSE,0.0,111.4053,RANGE,100444.87,all strategies flat
2015-04-17,EURUSD,OPEN_SHORT,-0.5,1.139,RANGE,100444.87,ACTIVE (regime RANGE ∈ ['RANGE']); short fade: z=2.53 ≥ 2.0
2015-04-20,GLD,OPEN_SHORT,-0.5,110.7535,TREND_DOWN,100506.65,"ACTIVE (regime TREND_DOWN ∈ ['TREND_DOWN', 'TREND_UP']); short: close<0.5·ATR above fastMA"
2015-04-22,SPY,OPEN_SHORT,-0.5,204.5163,TREND_DOWN,100271.39,"ACTIVE (regime TREND_DOWN ∈ ['TREND_DOWN', 'TREND_UP']); short: close<0.5·ATR above fastMA"
2015-04-22,GLD,CLOSE,0.0,111.4313,RANGE,100271.39,all strategies flat
2015-04-23,SPY,CLOSE,0.0,203.0988,RANGE,100402.22,all strategies flat
2015-04-24,SPY,OPEN_SHORT,-0.5,204.9938,TREND_DOWN,100515.19,"ACTIVE (regime TREND_DOWN ∈ ['TREND_DOWN', 'TREND_UP']); short: close<0.5·ATR above fastMA"
2015-04-24,GLD,OPEN_SHORT,-0.5,111.8704,TREND_DOWN,100515.19,"ACTIVE (regime TREND_DOWN ∈ ['TREND_DOWN', 'TREND_UP']); short: close<0.5·ATR above fastMA"
2015-04-28,GLD,CLOSE,0.0,112.4021,RANGE,100247.0,all strategies flat
2015-04-28,EURUSD,CLOSE,0.0,1.1324,RANGE,100247.0,all strategies flat
